축제ID	축제명	개최장소	축제시작일자	축제종료일자	축제내용	홈페이지주소	소재지도로명주소	소재지지번주소	위도	경도
441	2024 웰컴대학로	대학로	2024-10-12	2024-10-26	대학로를 다양하게 즐길 수 있는 공연관광 페스티벌	https://korean.visitkorea.or.kr/	강원특별자치도 원주시 세계로 10	강원특별자치도 원주시 반곡동 1914-6	37.32430507	127.989899
521	제16회산청목화축제	목면시배유지	2024-10-27	2024-10-27	무명베짜기재현+모듬북공연+음악회+무명옷패션쇼+목화체험	홈페이지 정보 없음	경상남도 산청군 단성면 목화로 887	경상남도 산청군 단성면 사월리 105-1	35.29061291	127.9580563
816	부산고등어축제	송도해수욕장 및 부산공동어시장 일원	2024-10-25	2024-10-27	개막행사+맨손으로 고등어잡기+고등어 주제공연+종이배 경주대회+고등어캐릭터 전시+고등어 스탬프투어+먹거리장터 등	http://www.busangde.co.kr	부산광역시 서구 송도해변로 100	부산광역시 서구 암남동 135-5	35.07682117	129.0180502
924	팔공산 단풍축제	팔공산 갓바위지구 일원	2024-10-26	2024-10-27	무대공연+단풍길 걷기대회+단풍가요제	홈페이지 정보 없음	대구광역시 동구 갓바위로 259	주소 X	35.97171664	128.7280117
933	홍성사랑국화축제	남당항 해양분수공원 일원	2024-10-22	2024-10-27	국화조형물 전시 및 직거래 판매장 설치	https://www.hongseong.go.kr/farm/	충청남도 홍성군 서부면+P7 남당항로213번길 25-62	충청남도 홍성군 서부면 남당리 863	36.53503195	126.467178
862	의령 리치리치 페스티벌	서동생활공원 등 관내 일원	2024-10-25	2024-10-27	개막식+메인프로그램+상설프로그램등	www.uiryeong.go.kr/richrichfestival	경상남도 의령군 의령읍 의병로8길 44	경상남도 의령군 의령읍 서동리 543	35.31545351	128.2558931
1250	합천기록문화축제	대장경테마파크	2024-10-24	2024-10-28	전시 및 공연 등 기록문화를 느낄 수 있는 축제	https://www.hc.go.kr/06573/08250.web	경상남도 합천군 가야면 가야산로 1160	주소 X	35.76749785	128.1365362
276	양양 송이&연어축제	양양남대천 둔치 및 부대행사장	2024-10-01	2024-10-30	"송이 및 연어 홍보부스, 부대행사"	https://tour.yangyang.go.kr	주소 X	강원특별자치도 양양군 양양읍 남문리 226-2	38.0731223	128.6241919
900	창평전통음식문화축제	창평슬로시티 일원	2024-10-01	2024-10-30	슬로푸드전시+체험+판매 등	홈페이지 정보 없음	전라남도 담양군 창평면 돌담길 56-24	전라남도 담양군 창평면 창평리 113-1	35.23525084	127.017861
1249	황매산 억새축제	황매산군립공원	2024-10-15	2024-10-30	황매산 억새를 즐기는 축제	http://www.hwangmaesan.kr	경상남도 합천군 가회면 황매산공원길 4	주소 X	35.48184913	128.0037495
1292	안성맞춤 포도축제	안성 제4산업단지 KCC 공장 옆	2024-10-01	2024-10-30	포도 전시 및 직판장 운영+포도 시식+포도관련 체험+다양한 이벤트 행사+지역문화 공연+노래자랑+초청가수 공연 등	https://www.anseong.go.kr/festival/calendar/view.do?mId=0504000000&idx=91	경기도 안성시 서운면 서운중앙길 23	경기도 안성시 서운면 인리 107-4번지	36.94330477	127.2595521
1293	죽주대고려문화축제	동안성시민복지센터	2024-10-01	2024-10-30	송문주 장문 대몽항쟁 역사 및 축제 발전방향 심포지엄+콘서트 및 지역주민 장기자랑	https://www.anseong.go.kr/festival/calendar/view.do?mId=0504000000&idx=90	경기도 안성시 죽산면 남부길 60	경기도 안성시 죽산면 죽산리 499번지	37.07467485	127.4244564
940	갈산 옹기 축제	갈산면 갈산토기+성촌토기 일원	2024-10-31	2024-10-31	"갈산 옹기 테마 공연, 체험, 기타 프로그램 운영"	https://hongseong.go.kr/em/sub10_01.do	충청남도 홍성군 갈산면 갈산서길475번길 128	충청남도 홍성군 갈산면 동성리 110-19	36.636806	126.519193
554	에코아트페어 제로섬씽Zero-Somthing 2024	춘천문화예술회관 전시장	2024-11-01	2024-11-01	기후위기를 극복하는 제로 웨이스트 전시 형태	홈페이지 정보 없음	강원특별자치도 춘천시 효자상길5번길 13(효자동)	강원특별자치도 춘천시 효자동 산40-12 춘천문화예술회관	37.872616	127.729341
713	달너머 달맞이 별다솜 음악회	달맞이 어울마당	2024-11-01	2024-11-01	공연팀+대중가수 공연	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
734	제19회 부산불꽃축제	동백섬+마린시티 일원	2024-11-01	2024-11-01	불꽃쇼+무대공연 등	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
433	개천절 대제전	사직동 단군성전	2024-11-03	2024-11-03	국조 단군의 개국을 기념하는 전통제례 봉행 및 부대행사	http://blog.naver.com/lgb301	서울특별시 종로구 인왕산로 22	서울특별시 종로구 사직동 1-28	37.5758942	126.9658016
929	글로벌바베큐페스티벌	홍주읍성	2024-11-01	2024-11-03	한우바비큐 관련 체험 및 판매	https://hongju.or.kr/home/main.do	충청남도 홍성군 홍성읍 아문길 27	충청남도 홍성군 홍성읍 오관리 98	36.60172104	126.6613892
997	거제 섬꽃축제	거제시 농업개발원	2024-10-26	2024-11-03	가을꽃 전시+농업기술 홍보+문화예술 전시 등	홈페이지 정보 없음	경상남도 거제시 거제면 거제남서로 3577	경상남도 거제시 거제면 서정리 978-14	34.85646488	128.5791279
1092	부산불꽃축제	광안리해변	2024-11-09	2024-11-09	불꽃 토크쇼+부산멀티불꽃쇼 등	http://www.bfo.or.kr/main/index.asp	부산광역시 수영구 광안해변로 219	부산광역시 수영구 광안동 192-16	35.15377357	129.1185161
208	예산황토사과축제	예산읍 다목적구장	2024-11-01	2024-11-13	예산황토사과의 우수성 홍보	https://www.yesan.go.kr/prog/fstvl/tour/sub04_01_06/view.do?fstvlNo=6	충청남도 예산군 예산읍 예산로 354	충청남도 예산군 예산읍 향천리 257	36.67616722	126.8617272
1080	제28회 파주장단콩축제	임진각 광장	2024-11-22	2024-11-24	파주장단콩 전시 및 판매+농특산물 홍보 및 판매+각종 공연 및 체험행사 등	http://tour.paju.go.kr	경기도 파주시 문산읍 임진각로 177	경기도 파주시 문산읍 마정리 1325-1	37.88953876	126.7401859
